N	O1
100	0.000344006
100	0.000321644
100	0.000358619
100	0.000345710
100	0.000345522
100	0.000337959
100	0.000363111
100	0.000363095
100	0.000359173
100	0.000367064
100	0.000363136
100	0.000363132
100	0.000378701
100	0.000448660
100	0.000409643
100	0.000461618
100	0.000392716
100	0.000373479
100	0.000373492
100	0.000406534
100	0.000484179
100	0.000484167
100	0.000523954
100	0.000523082
100	0.000544660
100	0.000621856
100	0.000615504
100	0.000494943
100	0.000522892
100	0.000551137
100	0.000550495
100	0.000544661
100	0.000549501
100	0.000557148
100	0.000677658
100	0.000665897
100	0.000693531
100	0.000687275
100	0.000671991
100	0.000597152
100	0.000576503
100	0.000587523
100	0.000619061
100	0.000602435
100	0.000544684
100	0.000551849
100	0.000662209
100	0.000657614
100	0.000684760
100	0.000653685
100	0.000550008
100	0.000544672
100	0.000544663
100	0.000552464
100	0.000549704
100	0.000506985
100	0.000551998
100	0.000528668
100	0.000522974
100	0.000547446
100	0.000616275
100	0.000622505
100	0.000628340
100	0.000622521
100	0.000622134
100	0.000600914
100	0.000661132
100	0.000679043
100	0.000698491
100	0.000681166
100	0.000653598
100	0.000660028
100	0.000659777
100	0.000661850
100	0.000659163
100	0.000638093
100	0.000622502
100	0.000527838
100	0.000528920
100	0.000522885
100	0.000537207
100	0.000494930
100	0.000481874
100	0.000504807
100	0.000507271
100	0.000467962
100	0.000502858
100	0.000471039
100	0.000473011
100	0.000471691
100	0.000528507
100	0.000530306
100	0.000534490
100	0.000544675
100	0.000554480
100	0.000608385
100	0.000668927
100	0.000658104
100	0.000665213
100	0.000659178
300	0.006587988
300	0.006613952
300	0.006802924
300	0.007745574
300	0.007119615
300	0.008156977
300	0.008243791
300	0.007163306
300	0.006834456
300	0.006794251
300	0.006495051
300	0.006940702
300	0.006766366
300	0.006598306
300	0.006861994
300	0.006812348
300	0.006704581
300	0.006663484
300	0.006652318
300	0.007256746
300	0.006999382
300	0.006801695
300	0.006691690
300	0.006931952
300	0.009311811
300	0.007586521
300	0.008569966
300	0.007541842
300	0.006772637
300	0.007478174
300	0.006587409
300	0.006965512
300	0.006654128
300	0.006647625
300	0.006593597
300	0.006502545
300	0.006621174
300	0.006522327
300	0.006766368
300	0.006878901
300	0.006609130
300	0.006776912
300	0.006743982
300	0.006458118
300	0.006413448
300	0.006780078
300	0.006537492
300	0.006898228
300	0.006777017
300	0.007114259
300	0.007441664
