N	SIN_OPT
1500000	0.003412
1500000	0.003456
1500000	0.003413
1500000	0.003428
1500000	0.003407
1500000	0.003435
1500000	0.003397
1500000	0.003422
1500000	0.003400
1500000	0.003427
1500000	0.003405
1500000	0.003417
1500000	0.003410
1500000	0.003407
1500000	0.003426
1750000	0.003964
1750000	0.003980
1750000	0.004000
1750000	0.003981
1750000	0.004003
1750000	0.003976
1750000	0.004005
1750000	0.003981
1750000	0.004011
1750000	0.003979
1750000	0.004002
1750000	0.003970
1750000	0.003997
1750000	0.003980
1750000	0.003994
1990000	0.004577
1990000	0.004555
1990000	0.004641
1990000	0.004561
1990000	0.004560
1990000	0.004559
1990000	0.004530
1990000	0.004566
1990000	0.004539
1990000	0.004564
1990000	0.004556
1990000	0.004641
1990000	0.004565
1990000	0.004629
1990000	0.004553
2550000	0.005805
2550000	0.005838
2550000	0.005849
2550000	0.005931
2550000	0.005833
2550000	0.005804
2550000	0.005951
2550000	0.005855
2550000	0.005832
2550000	0.005821
2550000	0.005851
2550000	0.005811
2550000	0.005844
2550000	0.005935
2550000	0.005845
3190000	0.007320
3190000	0.007277
3190000	0.007341
3190000	0.007297
3190000	0.007271
3190000	0.007300
3190000	0.007326
3190000	0.007311
3190000	0.007320
3190000	0.007284
3190000	0.007298
3190000	0.007325
3190000	0.007283
3190000	0.007345
3190000	0.007260
4200000	0.009623
4200000	0.009630
4200000	0.009553
4200000	0.009564
4200000	0.009578
4200000	0.009619
4200000	0.009632
4200000	0.009548
4200000	0.009571
4200000	0.009624
4200000	0.009555
4200000	0.009584
4200000	0.009624
4200000	0.009561
4200000	0.009604
5100000	0.011666
5100000	0.011618
5100000	0.011674
5100000	0.011606
5100000	0.011613
5100000	0.011688
5100000	0.011595
5100000	0.011604
5100000	0.011679
5100000	0.011609
5100000	0.011695
5100000	0.011602
5100000	0.011684
5100000	0.011608
5100000	0.011624
5900000	0.013427
5900000	0.013474
5900000	0.013433
5900000	0.013514
5900000	0.013432
5900000	0.013480
5900000	0.013516
5900000	0.013472
5900000	0.013462
5900000	0.013543
5900000	0.013488
5900000	0.013542
5900000	0.013455
5900000	0.013558
5900000	0.013545
7800000	0.017859
7800000	0.017823
7800000	0.018065
7800000	0.017810
7800000	0.017976
7800000	0.017773
7800000	0.017868
7800000	0.017835
7800000	0.017935
7800000	0.017798
7800000	0.017835
7800000	0.017892
7800000	0.017830
7800000	0.017940
7800000	0.017858
9500000	0.022049
9500000	0.021779
9500000	0.021778
9500000	0.021734
9500000	0.021807
9500000	0.021691
9500000	0.021737
9500000	0.021634
9500000	0.021784
9500000	0.021690
9500000	0.021761
9500000	0.022241
