N	MED_SIN	DESV_SIN	MED_OPTIM	DESV_OPTIM
10	0.143140	0.013729	0.162390	0.002879
20	0.152646	0.006466	0.163236	0.003386
30	0.179205	0.000553	0.170837	0.002441
50	0.171509	0.001201	0.185331	0.001022
75	0.161766	0.002597	0.179988	0.000611
100	0.163670	0.000287	0.182931	0.000416
150	0.160466	0.000361	0.179087	0.000502
200	0.160532	0.000453	0.180634	0.000634
300	0.155928	0.000396	0.178089	0.000322
450	0.151517	0.000287	0.177680	0.000327
600	0.143545	0.000650	0.171854	0.000288
800	0.141908	0.000325	0.172068	0.000501
1000	0.145983	0.000287	0.178946	0.000363
1500	0.142337	0.000316	0.177065	0.000339
2000	0.143133	0.001219	0.187409	0.002275
3000	0.139073	0.000543	0.183790	0.001107
4500	0.138225	0.000899	0.183739	0.002227
6000	0.133398	0.000258	0.177527	0.000657
8000	0.133316	0.000527	0.177853	0.000969
10000	0.138408	0.000298	0.184746	0.000641
15000	0.136890	0.000397	0.182939	0.000848
20000	0.138473	0.000978	0.185157	0.001213
30000	0.136455	0.000414	0.182987	0.001118
40000	0.137729	0.000358	0.184867	0.000638
60000	0.140603	0.000373	0.188598	0.000843
80000	0.143506	0.000510	0.192808	0.000762
100000	0.137693	0.000305	0.185356	0.000748
150000	0.136382	0.000149	0.183419	0.000780
200000	0.137846	0.000189	0.185368	0.000856
300000	0.136569	0.000544	0.184741	0.001022
400000	0.137770	0.000235	0.186740	0.000716
600000	0.140665	0.000523	0.190496	0.001483
800000	0.143304	0.000431	0.192915	0.000793
1000000	0.137741	0.000370	0.185421	0.001022
1500000	0.136276	0.000387	0.183435	0.000864
2000000	0.137671	0.000212	0.185248	0.000747
3000000	0.136627	0.000564	0.184243	0.001439
5000000	0.137867	0.000513	0.185538	0.000774
7500000	0.134244	0.000209	0.180661	0.000705
10000000	0.137814	0.000394	0.185588	0.000762
