N	OPT_OLD
3000	0.000005
3000	0.000005
3000	0.000005
3000	0.000005
3000	0.000005
3000	0.000005
3000	0.000005
3000	0.000005
3000	0.000005
3000	0.000005
3000	0.000005
3000	0.000005
3000	0.000005
3000	0.000005
3000	0.000005
12000	0.000020
12000	0.000020
12000	0.000020
12000	0.000020
12000	0.000020
12000	0.000020
12000	0.000020
12000	0.000020
12000	0.000020
12000	0.000020
12000	0.000020
12000	0.000020
12000	0.000020
12000	0.000020
12000	0.000020
40000	0.000066
40000	0.000066
40000	0.000066
40000	0.000066
40000	0.000066
40000	0.000066
40000	0.000066
40000	0.000066
40000	0.000066
40000	0.000066
40000	0.000066
40000	0.000066
40000	0.000066
40000	0.000066
40000	0.000066
110000	0.000187
110000	0.000187
110000	0.000187
110000	0.000187
110000	0.000187
110000	0.000187
110000	0.000187
110000	0.000188
110000	0.000188
110000	0.000187
110000	0.000188
110000	0.000187
110000	0.000187
110000	0.000187
110000	0.000187
390000	0.000668
390000	0.000667
390000	0.000667
390000	0.000667
390000	0.000666
390000	0.000666
390000	0.000668
390000	0.000669
390000	0.000670
390000	0.000667
390000	0.000666
390000	0.000668
390000	0.000667
390000	0.000666
390000	0.000666
1190000	0.002027
1190000	0.002022
1190000	0.002022
1190000	0.002023
1190000	0.002020
1190000	0.002015
1190000	0.002012
1190000	0.002010
1190000	0.002007
1190000	0.002006
1190000	0.002016
1190000	0.002014
1190000	0.002016
1190000	0.002017
1190000	0.002026
1990000	0.003375
1990000	0.003360
1990000	0.003372
1990000	0.003362
1990000	0.003357
1990000	0.003372
1990000	0.003372
1990000	0.003386
1990000	0.003433
1990000	0.003418
1990000	0.003420
1990000	0.003412
1990000	0.003409
1990000	0.003379
1990000	0.003381
3190000	0.005420
3190000	0.005436
3190000	0.005411
3190000	0.005405
3190000	0.005404
3190000	0.005407
3190000	0.005463
3190000	0.005442
3190000	0.005467
3190000	0.005501
3190000	0.005451
3190000	0.005470
3190000	0.005457
3190000	0.005473
3190000	0.005429
5900000	0.009969
5900000	0.010002
5900000	0.010019
5900000	0.010009
5900000	0.010004
5900000	0.010023
5900000	0.010015
5900000	0.009928
5900000	0.009918
5900000	0.009989
5900000	0.010006
5900000	0.010006
5900000	0.010030
5900000	0.010013
5900000	0.009966
11800000	0.020028
11800000	0.019741
11800000	0.019976
11800000	0.019981
11800000	0.019950
11800000	0.020012
11800000	0.019945
11800000	0.020325
11800000	0.020848
11800000	0.020930
11800000	0.020850
11800000	0.020859
11800000	0.020846
11800000	0.020615
11800000	0.020087
23900000	0.040598
23900000	0.040512
23900000	0.040590
23900000	0.040627
23900000	0.040547
23900000	0.040570
23900000	0.040582
23900000	0.040632
23900000	0.040654
23900000	0.040615
23900000	0.040817
23900000	0.040590
23900000	0.040883
23900000	0.040743
23900000	0.040595
95000000	0.161129
95000000	0.161107
95000000	0.161108
95000000	0.160830
95000000	0.161053
95000000	0.161269
95000000	0.160843
95000000	0.160394
95000000	0.160078
95000000	0.160688
95000000	0.160900
95000000	0.161076
95000000	0.161006
95000000	0.161617
95000000	0.161437
383000000	0.650642
383000000	0.649182
383000000	0.649810
383000000	0.651907
383000000	0.652450
383000000	0.650999
383000000	0.652271
383000000	0.651899
383000000	0.650000
383000000	0.650346
383000000	0.651092
383000000	0.651616
383000000	0.652017
383000000	0.653131
383000000	0.655072
959000000	1.633799
959000000	1.624462
959000000	1.630401
959000000	1.616173
959000000	1.623976
959000000	1.622399
959000000	1.619282
959000000	1.622299
959000000	1.639565
959000000	1.637468
959000000	1.628752
959000000	1.633084
959000000	1.628970
959000000	1.630049
959000000	1.629363
1910000000	3.241696
1910000000	3.240704
1910000000	3.251599
1910000000	3.257894
1910000000	3.254425
1910000000	3.241087
1910000000	3.251812
1910000000	3.261806
1910000000	3.251918
1910000000	3.257446
1910000000	3.254779
1910000000	3.249385
1910000000	3.249248
1910000000	3.257274
1910000000	3.249465
