N	SIN_OPT
3000	0.000005
3000	0.000005
3000	0.000005
3000	0.000005
3000	0.000005
3000	0.000005
3000	0.000005
3000	0.000005
3000	0.000005
3000	0.000005
3000	0.000005
3000	0.000005
3000	0.000005
3000	0.000005
3000	0.000005
12000	0.000020
12000	0.000020
12000	0.000020
12000	0.000020
12000	0.000020
12000	0.000020
12000	0.000020
12000	0.000020
12000	0.000020
12000	0.000020
12000	0.000020
12000	0.000020
12000	0.000020
12000	0.000020
12000	0.000020
40000	0.000068
40000	0.000067
40000	0.000068
40000	0.000067
40000	0.000067
40000	0.000067
40000	0.000067
40000	0.000067
40000	0.000067
40000	0.000067
40000	0.000067
40000	0.000067
40000	0.000067
40000	0.000067
40000	0.000067
110000	0.000185
110000	0.000185
110000	0.000185
110000	0.000185
110000	0.000185
110000	0.000185
110000	0.000185
110000	0.000185
110000	0.000185
110000	0.000185
110000	0.000186
110000	0.000186
110000	0.000185
110000	0.000185
110000	0.000185
390000	0.000656
390000	0.000656
390000	0.000655
390000	0.000655
390000	0.000655
390000	0.000656
390000	0.000656
390000	0.000655
390000	0.000655
390000	0.000656
390000	0.000656
390000	0.000656
390000	0.000656
390000	0.000657
390000	0.000655
1190000	0.002008
1190000	0.002010
1190000	0.002010
1190000	0.002006
1190000	0.002009
1190000	0.002006
1190000	0.002006
1190000	0.002001
1190000	0.002005
1190000	0.002005
1190000	0.002005
1190000	0.002006
1190000	0.002008
1190000	0.002010
1190000	0.002008
1990000	0.003358
1990000	0.003356
1990000	0.003361
1990000	0.003355
1990000	0.003354
1990000	0.003358
1990000	0.003357
1990000	0.003320
1990000	0.003304
1990000	0.003309
1990000	0.003309
1990000	0.003308
1990000	0.003311
1990000	0.003311
1990000	0.003306
3190000	0.005313
3190000	0.005304
3190000	0.005307
3190000	0.005300
3190000	0.005309
3190000	0.005294
3190000	0.005305
3190000	0.005300
3190000	0.005303
3190000	0.005307
3190000	0.005308
3190000	0.005309
3190000	0.005307
3190000	0.005303
3190000	0.005305
5900000	0.009834
5900000	0.009835
5900000	0.009813
5900000	0.009826
5900000	0.009824
5900000	0.009819
5900000	0.009877
5900000	0.009825
5900000	0.009827
5900000	0.009833
5900000	0.009830
5900000	0.009830
5900000	0.009818
5900000	0.009815
5900000	0.009817
11800000	0.019657
11800000	0.019646
11800000	0.019657
11800000	0.019646
11800000	0.019675
11800000	0.019663
11800000	0.019649
11800000	0.019644
11800000	0.019668
11800000	0.019648
11800000	0.019651
11800000	0.019649
11800000	0.019662
11800000	0.019677
11800000	0.019650
23900000	0.039810
23900000	0.039810
23900000	0.039858
23900000	0.039798
23900000	0.039802
23900000	0.039822
23900000	0.039806
23900000	0.039826
23900000	0.039835
23900000	0.039808
23900000	0.039873
23900000	0.039831
23900000	0.039823
23900000	0.039886
23900000	0.039952
95000000	0.158290
95000000	0.158311
95000000	0.158840
95000000	0.158456
95000000	0.158581
95000000	0.158515
95000000	0.158519
95000000	0.158332
95000000	0.158410
95000000	0.158211
95000000	0.158339
95000000	0.158283
95000000	0.158398
95000000	0.158242
95000000	0.158136
383000000	0.638706
383000000	0.638352
383000000	0.638776
383000000	0.638553
383000000	0.638910
383000000	0.638906
383000000	0.638569
383000000	0.638641
383000000	0.639920
383000000	0.638352
383000000	0.637559
383000000	0.638895
383000000	0.639214
383000000	0.639113
383000000	0.638986
959000000	1.600928
959000000	1.601376
959000000	1.602626
959000000	1.601710
959000000	1.602898
959000000	1.601348
959000000	1.604789
959000000	1.606649
959000000	1.604117
959000000	1.602995
959000000	1.604936
959000000	1.603510
959000000	1.604116
959000000	1.604486
959000000	1.601526
1910000000	3.189153
1910000000	3.188596
1910000000	3.187022
1910000000	3.190673
1910000000	3.188505
1910000000	3.191810
1910000000	3.191120
1910000000	3.193718
1910000000	3.195711
1910000000	3.222926
1910000000	3.255893
1910000000	3.257699
1910000000	3.260038
1910000000	3.260747
1910000000	3.259488
