N	OPT_OLD
23900000	0.005191
23900000	0.005185
23900000	0.005165
23900000	0.005240
23900000	0.005183
23900000	0.005180
23900000	0.005177
23900000	0.005171
23900000	0.005174
23900000	0.005176
23900000	0.005164
23900000	0.005173
23900000	0.005167
23900000	0.005175
23900000	0.005188
23900000	0.005183
23900000	0.005188
23900000	0.005167
23900000	0.005174
23900000	0.005188
23900000	0.005188
23900000	0.005207
23900000	0.005176
23900000	0.005181
23900000	0.005180
23900000	0.005191
23900000	0.005199
23900000	0.005202
23900000	0.005179
23900000	0.005170
23900000	0.005175
23900000	0.005183
23900000	0.005181
23900000	0.005184
23900000	0.005174
23900000	0.005169
23900000	0.005166
23900000	0.005170
23900000	0.005169
23900000	0.005200
