N	SIN_OPT
23900000	0.005201
23900000	0.005194
23900000	0.005177
23900000	0.005173
23900000	0.005180
23900000	0.005181
23900000	0.005193
23900000	0.005209
23900000	0.005169
23900000	0.005188
23900000	0.005212
23900000	0.005187
23900000	0.005183
23900000	0.005187
23900000	0.005177
23900000	0.005177
23900000	0.005174
23900000	0.005187
23900000	0.005185
23900000	0.005185
23900000	0.005179
23900000	0.005184
23900000	0.005206
23900000	0.005192
23900000	0.005189
23900000	0.005194
23900000	0.005190
23900000	0.005187
23900000	0.005200
23900000	0.005198
23900000	0.005189
23900000	0.005185
23900000	0.005192
23900000	0.005192
23900000	0.005212
23900000	0.005198
23900000	0.005201
23900000	0.005204
23900000	0.005201
23900000	0.005197
