N	Q2_SIN	Q2_OPT_OLD	Q2_OPT_NEW
10	0.000000	0.000000	0.000000
20	0.000000	0.000000	0.000000
30	0.000000	0.000000	0.000000
50	0.000000	0.000000	0.000000
75	0.000000	0.000000	0.000000
100	0.000000	0.000000	0.000000
150	0.000000	0.000000	0.000000
200	0.000000	0.000000	0.000000
300	0.000000	0.000001	0.000000
450	0.000001	0.000001	0.000001
600	0.000001	0.000001	0.000001
800	0.000001	0.000002	0.000001
1000	0.000002	0.000002	0.000001
1500	0.000002	0.000003	0.000002
2000	0.000003	0.000004	0.000003
3000	0.000005	0.000006	0.000004
4500	0.000007	0.000009	0.000006
6000	0.000009	0.000012	0.000009
8000	0.000013	0.000016	0.000011
10000	0.000016	0.000020	0.000014
15000	0.000024	0.000031	0.000021
20000	0.000031	0.000041	0.000029
30000	0.000047	0.000061	0.000043
40000	0.000063	0.000081	0.000057
60000	0.000094	0.000123	0.000086
80000	0.000126	0.000163	0.000115
100000	0.000157	0.000203	0.000143
150000	0.000236	0.000305	0.000214
200000	0.000314	0.000408	0.000285
300000	0.000473	0.000611	0.000428
400000	0.000629	0.000814	0.000570
600000	0.000944	0.001223	0.000855
800000	0.001261	0.001631	0.001142
1000000	0.001573	0.002042	0.001426
1500000	0.002360	0.003056	0.002138
2000000	0.003145	0.004075	0.002852
3000000	0.004722	0.006116	0.004274
5000000	0.007868	0.010214	0.007139
7500000	0.011811	0.015243	0.010724
10000000	0.015768	0.020601	0.014328
